inglesinhos	inglês+A+DIM+M+PL
inteligente	inteligente+A+SG
inteligentes	inteligente+A+PL
inteligentezinha	inteligente+A+DIM+F+SG
inteligentezinhas	inteligente+A+DIM+F+PL
inteligentezinho	inteligente+A+DIM+M+SG
inteligentezinhos	inteligente+A+DIM+M+PL
inteligentinha	inteligente+A+DIM+F+SG
inteligentinhas	inteligente+A+DIM+F+PL
inteligentinho	inteligente+A+DIM+M+SG
inteligentinhos	inteligente+A+DIM+M+PL
inteligentíssima	inteligente+A+SUPER+F+SG
inteligentíssimas	inteligente+A+SUPER+F+PL
inteligentíssimo	inteligente+A+SUPER+M+SG
inteligentíssimos	inteligente+A+SUPER+M+PL
judeu	judeu+A+M+SG
judeus	judeu+A+M+PL
judeuzinho	judeu+A+DIM+M+SG
judeuzinhos	judeu+A+DIM+M+PL
judia	judeu+A+F+SG
judias	judeu+A+F+PL
judiazinha	judeu+A+DIM+F+SG
judiazinhas	judeu+A+DIM+F+PL
judinha	judeu+A+DIM+F+SG
judinhas	judeu+A+DIM+F+PL
nua	nu+A+F+SG
nuas	nu+A+F+PL
nuazinha	nu+A+DIM+F+SG
nuazinhas	nu+A+DIM+F+PL
nuazita	nu+A+DIM+F+SG
nuazitas	nu+A+DIM+F+PL
nuinha	nu+A+DIM+F+SG
nuinhas	nu+A+DIM+F+PL
nuinho	nu+A+DIM+M+SG
nuinhos	nu+A+DIM+M+PL
nuita	nu+A+DIM+F+SG
nuitas	nu+A+DIM+F+PL
nuito	nu+A+DIM+M+SG
nuitos	nu+A+DIM+M+PL
nu	nu+A+M+SG
nus	nu+A+M+PL
nuzinha	nu+A+DIM+F+SG
nuzinhas	nu+A+DIM+F+PL
nuzinho	nu+A+DIM+M+SG
nuzinhos	nu+A+DIM+M+PL
nuzita	nu+A+DIM+F+SG
nuzitas	nu+A+DIM+F+PL
nuzito	nu+A+DIM+M+SG
nuzitos	nu+A+DIM+M+PL
pequena	pequeno+A+F+SG
pequenas	pequeno+A+F+PL
pequenazinha	pequeno+A+DIM+F+SG
pequenazinhas	pequeno+A+DIM+F+PL
pequeninha	pequeno+A+DIM+F+SG
pequeninhas	pequeno+A+DIM+F+PL
pequeninho	pequeno+A+DIM+M+SG
pequeninhos	pequeno+A+DIM+M+PL
pequeníssima	pequeno+A+SUPER+F+SG
pequeníssimas	pequeno+A+SUPER+F+PL
pequeníssimo	pequeno+A+SUPER+M+SG
pequeníssimos	pequeno+A+SUPER+M+PL
pequenita	pequeno+A+DIM+F+SG
pequenitas	pequeno+A+DIM+F+PL
pequenito	pequeno+A+DIM+M+SG
pequenitos	pequeno+A+DIM+M+PL
pequeno	pequeno+A+M+SG
pequenos	pequeno+A+M+PL
pequenozinho	pequeno+A+DIM+M+SG
pequenozinhos	pequeno+A+DIM+M+PL
persa	persa+A+SG
persas	persa+A+PL
persazinha	persa+A+DIM+F+SG
persazinhas	persa+A+DIM+F+PL
persazinho	persa+A+DIM+M+SG
persazinhos	persa+A+DIM+M+PL
persinha	persa+A+DIM+F+SG
persinha	persa+A+DIM+M+SG
persinhas	persa+A+DIM+F+PL
persinhas	persa+A+DIM+M+PL
simplérrima	simples+A+SUPER+F+SG
simplérrimas	simples+A+SUPER+F+PL
simplérrimo	simples+A+SUPER+M+SG
simplérrimos	simples+A+SUPER+M+PL
simplesinha	simples+A+DIM+F+SG
simplesinhas	simples+A+DIM+F+PL
simplesinho	simples+A+DIM+M+SG
simplesinhos	simples+A+DIM+M+PL
simples	simples+A
simplicíssima	simples+A+SUPER+F+SG
simplicíssimas	simples+A+SUPER+F+PL
simplicíssimo	simples+A+SUPER+M+SG
simplicíssimos	simples+A+SUPER+M+PL
simplíssima	simples+A+SUPER+F+SG
simplíssimas	simples+A+SUPER+F+PL
simplíssimo	simples+A+SUPER+M+SG
simplíssimos	simples+A+SUPER+M+PL
trabalhadeiras	trabalhador+A+F+PL
trabalhadeira	trabalhador+A+F+SG
trabalhadeirazinhas	trabalhador+A+DIM+F+PL
trabalhadeirazinha	trabalhador+A+DIM+F+SG
trabalhadeirazitas	trabalhador+A+DIM+F+PL
trabalhadeirazita	trabalhador+A+DIM+F+SG
trabalhadeirinhas	trabalhador+A+DIM+F+PL
trabalhadeirinha	trabalhador+A+DIM+F+SG
trabalhadoras	trabalhador+A+F+PL
